No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
11,2/2/21,16:11:46,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,36.92,2.699,-2.102,2327,52.184,7:45,1.238,0.681,1.897,-1.355,-0.347,-0.41,0.643,-0.32,33.776,-7.343,-5.147,0.46,,,,,,,,,,,,0.208,-0.193,-0.631,15.24,1.292,1.475,-36.427,1.262,3.606,7.217,-13.146,Coe College,Coe College,,,,,{378803B4-A65C-4CE2-9D21-6C66C7C929C6},0.32,0.643,
12,2/2/21,16:11:59,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,32.693,2.73,-1.552,2325,39.914,7:15,1.471,0.667,1.762,-1.764,-0.462,-0.352,0.481,-0.125,30.042,-10.23,-4.161,0.523,,,,,,,,,,,,0.178,-0.248,-0.626,15.24,1.527,0.99,-32.33,0.972,2.412,5.933,-13.164,Coe College,Coe College,,,,,{A2073E68-4E84-4B67-9EF0-7082DD38EAC3},0.125,0.481,
13,2/2/21,16:12:11,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,33.045,3.162,-2.629,2445,1.129,6:00,1.475,0.668,1.75,-1.912,-0.637,-0.012,0.462,-0.09,30.392,-10.875,-2.716,0.518,,,,,,,,,,,,-0.014,-0.345,-0.602,15.24,1.541,1.505,-32.693,1.179,-0.192,6.081,-14.589,Coe College,Coe College,,,,,{C42AEFDC-8A8E-41B4-8BB3-4E664CCB7406},0.09,0.462,
14,2/2/21,16:12:27,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Two Seam Fastball,,Ball,,,,,,,37.169,0.72,-2.701,1909,278.654,3:15,1.551,0.709,1.831,-1.12,-0.121,0.554,0.634,0.5,33.709,-7.595,1.432,0.46,,,,,,,,,,,,-0.322,-0.052,-0.648,15.24,1.561,1.537,-36.702,0.067,-5.614,7.81,-10.705,Coe College,Coe College,,,,,{358B9F25-B8FF-48D4-8C3C-1EA4EF4A3072},-0.5,0.634,
15,2/2/21,16:12:47,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Two Seam Fastball,,Ball,,,,,,,36.867,1.562,-3.863,1903,310.868,4:15,1.383,0.665,1.882,-1.451,-0.443,0.471,0.373,0.047,33.631,-9.212,-0.347,0.461,,,,,,,,,,,,-0.287,-0.235,-0.579,15.24,1.411,2.3,-36.426,0.504,-4.935,7.59,-13.842,Coe College,Coe College,,,,,{72140CD9-F4B1-4055-BFDB-FE9FAEDA8BC4},-0.047,0.373,
16,2/2/21,16:13:02,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Called Strike,,,,,,,34.665,2.568,-3.201,1686,326.035,4:45,1.47,0.681,1.962,-1.645,-0.513,0.317,0.546,0.101,31.577,-9.714,-0.816,0.489,,,,,,,,,,,,-0.2,-0.28,-0.614,15.24,1.517,1.819,-34.225,1.042,-3.035,6.849,-14.055,Coe College,Coe College,,,,,{CD92E87D-2EE1-43A1-8E12-F2B89B3F8C8B},-0.101,0.546,
17,2/2/21,16:13:17,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,32.659,3.665,-2.866,2507,356.549,6:00,1.438,0.866,1.714,-1.974,-0.661,0.037,0.509,0.088,29.998,-10.806,-2.59,0.526,,,,,,,,,,,,-0.042,-0.36,-0.792,15.24,1.519,1.604,-32.29,1.416,-0.568,5.947,-14.672,Coe College,Coe College,,,,,{04B45744-C741-468F-B439-8D01468D0C82},-0.088,0.509,
18,2/2/21,16:13:32,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Two Seam Fastball,,Called Strike,,,,,,,37.727,1.589,-2.557,1928,323.017,4:45,1.374,0.656,1.878,-1.438,-0.474,0.331,0.383,0.266,34.364,-9.092,-0.085,0.451,,,,,,,,,,,,-0.2,-0.252,-0.599,15.24,1.401,1.549,-37.253,0.536,-3.602,7.982,-14.339,Coe College,Coe College,,,,,{3196255E-06F7-45EA-81D0-E8BC7BC86548},-0.266,0.383,
19,2/2/21,16:13:45,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,35.048,1.53,-3.65,1726,325.167,4:45,1.407,0.76,2.051,-1.533,-0.44,0.279,0.302,0.021,32.025,-9.955,-1.544,0.48,,,,,,,,,,,,-0.184,-0.235,-0.688,15.24,1.431,2.132,-34.667,0.489,-2.865,7.007,-13.467,Coe College,Coe College,,,,,{27A1DC1B-3EF5-4C7D-96DB-8CD398CC2236},-0.021,0.302,
20,2/2/21,16:14:00,0,0,TJ Deardorff,{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,33.109,1.966,-1.467,2330,37.481,7:15,1.576,0.62,1.787,-1.739,-0.475,-0.33,0.393,-0.126,30.377,-10.837,-3.922,0.517,,,,,,,,,,,,0.167,-0.248,-0.581,15.24,1.612,0.945,-32.758,0.565,2.313,6.317,-13.25,Coe College,Coe College,,,,,{2F41592C-1C31-465A-B628-68C0EDADD1BD},0.126,0.393,
