No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
60,2/16/21,15:06:38,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Contact Out,,,,,,,35.53,0.221,-2.89,2130,183.993,12:15,1.5,0.918,1.334,-0.678,0.492,0.037,0.887,0.114,31.925,-4.679,-2.619,0.497,,,,,,,,,,,,-0.042,0.272,-0.825,15.24,1.5,1.746,-34.918,-0.157,-0.658,7.056,-5.512,Coe College,Coe College,,,,,{89E801F3-7A5B-4213-9AF3-9BDA83EABA0B},-0.114,0.887,
61,2/16/21,15:07:11,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Nolan Cavanaugh,{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,Coe College,Wind Up,,Top,,,,Slider,,Foul Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{54A7C860-4915-4950-8EF2-199DD389BE29},,,
64,2/16/21,15:08:18,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Hit by Pitch,,,,,,,36.112,3.074,0.04,2168,359.177,6:00,1.564,0.772,1.023,-1.532,-0.367,0.005,0.944,0.789,32.569,-7.814,0.073,0.497,,,,,,,,,,,,-0.002,-0.183,-0.774,15.24,1.658,-0.027,-35.584,1.158,-0.032,7.602,-12.798,Coe College,Coe College,,,,,{A20A9BBF-1D10-4B84-ABE2-7671D008F7F4},-0.789,0.944,
65,2/16/21,15:08:49,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,31.172,3.64,0.497,1979,55.834,7:45,1.665,0.623,1.085,-1.962,-0.408,-0.491,0.78,0.278,28.114,-10.354,-3.037,0.576,,,,,,,,,,,,0.25,-0.199,-0.634,15.24,1.771,-0.064,-30.719,1.146,3.012,6.108,-12.209,Coe College,Coe College,,,,,{5D4D6093-380D-488A-B4B3-289480B312F2},-0.278,0.78,
66,2/16/21,15:09:05,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{BD5779A8-484A-4306-8D6F-01C24219E626},,,
67,2/16/21,15:09:22,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,35.575,3.351,-2.6,2110,32.294,7:00,1.567,0.54,1.28,-1.571,-0.388,-0.22,0.976,-0.44,32.15,-7.918,-4.182,0.5,,,,,,,,,,,,0.092,-0.203,-0.45,15.24,1.66,1.678,-34.836,1.352,1.448,6.921,-12.997,Coe College,Coe College,,,,,{380A87FD-1FF7-4A8D-8D7C-408314FAFAB5},0.44,0.976,
68,2/16/21,15:09:38,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,32.279,1.287,-1.987,1924,46.198,7:30,1.628,0.742,1.117,-1.816,-0.364,-0.308,0.192,-0.152,29.196,-11.621,-4.204,0.557,,,,,,,,,,,,0.137,-0.16,-0.666,15.24,1.65,1.23,-31.708,-0.051,1.762,6.483,-11.856,Coe College,Coe College,,,,,{886107B8-3D95-47BE-A6FE-7445A512F645},0.152,0.192,
69,2/16/21,15:09:53,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Swinging Strike,,,,,,,36.029,2.475,-3.241,2189,338.661,5:15,1.492,0.669,1.289,-1.505,-0.36,0.128,0.712,-0.15,32.824,-8.295,-2.322,0.49,,,,,,,,,,,,-0.089,-0.184,-0.563,15.24,1.557,1.948,-35.417,0.861,-1.449,6.792,-12.825,Coe College,Coe College,,,,,{BAF36F88-9CD4-4F40-A707-35FAABA64C28},0.15,0.712,
70,2/16/21,15:10:15,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Changeup,,Swinging Strike,,,,,,,33.051,3.333,-2.975,1759,342.213,5:30,1.343,0.761,1.046,-1.851,-0.43,0.112,0.481,-0.008,29.118,-9.92,-2.171,0.554,,,,,,,,,,,,-0.084,-0.206,-0.651,15.24,1.442,1.621,-32.132,1.07,-1.098,7.124,-12.493,Coe College,Coe College,,,,,{0F98204B-4231-444C-A06F-33A7E8818154},0.008,0.481,
71,2/16/21,15:10:31,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Tyler Elliott,{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,33.348,3,-2.601,1248,24.483,6:45,1.625,0.775,0.967,-1.846,-0.458,-0.18,0.674,-0.179,30.046,-10.039,-3.882,0.544,,,,,,,,,,,,0.067,-0.22,-0.671,15.24,1.714,1.568,-32.694,0.869,0.914,6.671,-12.827,Coe College,Coe College,,,,,{712218DB-73E0-4029-89C2-6D36A15A1335},0.179,0.674,
